Word,Frequency
kronos,50
elodis,46
karel,33
government,31
health,28
years,28
water,27
police,26
pok,25
gastech,24
death,20
elian,20
julian,20
city,19
died,18
protectors,18
people,17
abila,17
are,16
said,15
time,15
citizens,13
civil,13
made,13
meeting,13
bodrogi,13
caused,12
gas,12
last,11
employees,11
family,11
outside,11
community,11
1998,11
residents,11
several,11
old,11
minister,10
tiskele,10
demonstrators,10
like,10
leader,9
disease,9
president,9
three,9
took,9
group,9
vann,9
bring,9
reese,9
money,8
lead,8
children,8
year,8
towards,8
yesterday,8
way,8
do,8
including,8
benzene,8
public,8
began,8
henk,8
what,8
good,8
life,8
contamination,8
sanjorge,8
many,8
stop,7
asked,7
make,7
published,7
nespola,7
today,7
request,7
say,7
justice,7
which,7
operations,7
river,7
company,7
foreign,7
problem,7
aid,6
contaminated,6
business,6
report,6
soon,6
incidence,6
hospital,6
favor,6
perforated,6
jail,6
investigation,6
thing,6
moved,6
front,6
due,6
corruption,6
