Word,Frequency
kronos,60
gas,41
are,39
gastech,33
government,29
years,26
people,26
outside,19
pok,19
like,18
tethys,18
said,18
company,17
work,17
foreign,17
sanjorge,15
last,15
do,15
coast,15
caramel,15
cotton,15
center,14
energy,14
abila,14
oil,14
drug,14
equipment,12
around,11
employees,11
new,11
police,11
city,11
bianca,11
kronosian,10
aid,10
also,10
much,10
history,10
great,10
ceo,10
fields,9
inside,9
take,9
could,9
difficult,9
times,9
karel,9
ceos,9
international,8
does,8
sten,8
medical,8
group,8
sent,8
year,8
continue,8
main,8
leader,8
greater,8
environmental,8
what,8
designer,8
towards,7
works,7
means,7
resources,7
answer,7
emergency,7
local,7
many,7
protests,7
being,7
chemical,7
drugs,7
way,7
meeting,7
soon,6
country,6
state,6
care,6
says,6
find,6
civil,6
return,6
whereas,6
disclosed,6
obtain,6
boat,6
which,6
began,6
protectors,6
although,6
capital,6
reading,6
groups,6
use,6
know,6
industry,6
time,6
place,6
