Word,Frequency
police,31
pok,27
gastech,16
abila,15
building,15
kronos,14
government,12
said,12
gas,11
today,10
president,10
members,9
held,9
headquarters,9
several,9
crowd,9
health,9
protestors,8
development,8
karel,8
people,7
arrested,7
protectors,7
spokesman,7
foreign,7
protesters,7
yesterday,6
tiskele,6
bend,6
fields,6
press,6
are,6
capitol,6
taxes,6
projects,6
hospital,6
minister,6
care,6
signs,5
water,5
vann,5
violence,5
tax,5
morning,5
kidnapping,5
officers,5
front,5
elian,5
sanjorge,5
oil,5
nespola,5
called,4
juliana,4
year,4
become,4
adrien,4
years,4
conference,4
employees,4
demonstration,4
last,4
tear,4
being,4
kapelou,4
general,4
new,4
increase,4
rally,4
peaceful,4
entrance,3
action,3
environmental,3
gastechs,3
group,3
10,3
vehicle,3
carman,3
incentives,3
investment,3
ministry,3
could,3
many,3
informed,3
four,3
tethyn,3
law,3
violent,3
hours,3
property,3
gathered,3
damage,3
vehicles,3
blocking,3
road,3
began,3
attend,3
reception,3
meeting,3
rufus,3
drymiau,3
