Word,Frequency
kronos,107
gastech,58
government,52
gas,43
pok,39
police,38
protectors,37
abila,33
elodis,30
health,28
karel,26
water,26
sanjorge,24
today,22
international,21
elian,21
death,21
tiskele,21
president,20
are,20
people,17
sten,17
bend,16
members,15
time,15
years,15
minister,15
tethys,13
headquarters,13
around,13
jr,13
yesterday,13
last,12
said,12
drug,12
died,12
fields,12
officials,12
group,12
foreign,11
increase,11
citizens,11
karels,11
activist,11
employees,11
oil,11
building,10
year,10
including,10
announced,10
new,10
morning,10
company,10
released,10
being,9
old,9
cotton,9
candy,9
several,9
leader,9
juliana,9
arrested,9
protesters,9
office,9
development,9
kapelou,9
tax,8
press,8
vann,8
following,8
wellness,8
drilling,8
public,8
site,8
bring,8
which,8
held,8
family,8
arrest,8
country,7
front,7
reported,7
official,7
rally,7
1998,7
hours,7
charges,7
violent,7
rural,7
environmental,7
force,7
day,7
four,7
cesare,7
nespola,7
recent,6
many,6
local,6
organization,6
report,6
