Word,Frequency
gastech,90
kronos,75
government,60
are,43
abila,33
police,33
update,29
pok,27
time,26
employees,23
group,23
people,22
international,21
around,20
protectors,19
missing,17
fire,17
elodis,16
headquarters,16
arrest,15
statement,14
officials,14
public,13
accused,13
released,12
contamination,12
president,12
building,12
site,12
hrs,12
said,11
water,11
meeting,11
sanjorge,11
dob,11
investigation,10
still,10
activist,10
violent,10
protesters,10
recent,10
jr,10
wfa,10
confirmed,9
kidnapping,9
being,9
however,9
kapelou,9
threat,9
tiskele,9
members,9
vann,9
gas,9
plane,9
report,8
reception,8
elian,8
including,8
well,8
tethys,8
spokesman,8
declined,8
bend,8
what,8
passengers,8
leadership,8
first,7
protests,7
karel,7
incident,7
business,7
second,7
confusion,7
security,7
alarm,7
also,7
ceo,7
sten,7
gastechs,7
officers,7
though,6
violence,6
death,6
died,6
windows,6
new,6
morning,6
whether,6
hours,6
private,6
airport,6
scene,6
last,6
do,6
strum,6
drug,6
news,5
conference,5
fourteen,5
yet,5
