Word,Frequency
gastech,48
kronos,35
sanjorge,32
international,26
government,19
sten,19
jr,19
gas,16
company,11
fluss,10
gastechs,9
tethys,8
environmental,8
abila,8
million,8
contamination,7
president,7
new,7
sr,7
port,7
internationals,6
water,6
ceo,6
headquarters,6
kidnapping,6
fire,6
site,5
well,5
tiskele,5
bend,5
said,5
years,5
expansion,5
drilling,4
another,4
great,4
companys,4
clean,4
also,4
are,4
energy,4
around,4
capital,4
day,4
year,4
statement,4
however,4
place,4
employees,4
production,4
elodis,4
founded,4
hank,4
centrum,4
fields,4
due,3
process,3
logo,3
part,3
flame,3
present,3
eye,3
came,3
responsibility,3
forward,3
response,3
recent,3
february,3
declined,3
comment,3
today,3
developing,3
relationship,3
wellness,3
groundwater,3
being,3
work,3
speculation,3
taken,3
protectors,3
least,3
event,3
morning,3
jrs,3
outside,3
cato,3
away,3
reported,3
billionaire,3
public,3
1961,3
meters,3
billion,3
cheap,3
deal,3
east,3
pier,3
world,3
hasr,2
high,2
