Word,Frequency
which,72
kronos,52
elodis,47
are,41
karel,37
government,33
concerning,27
pok,26
water,26
gastech,24
health,24
years,23
elian,21
died,21
police,21
force,21
juliana,20
civil,20
guards,18
servants,17
abila,17
people,16
bodrogi,15
company,14
citizens,14
death,14
year,13
bring,13
time,12
community,12
leader,11
family,11
old,11
report,11
city,11
since,11
country,11
started,11
gas,11
residents,11
1998,11
minister,11
group,10
henk,10
public,10
what,10
tiskele,10
couple,10
wellness,10
already,10
prison,9
sickness,9
vann,9
must,9
different,9
become,9
tell,9
care,9
children,9
house,9
days,9
reese,9
caused,9
president,9
former,9
way,9
remind,8
told,8
agriculture,8
dead,8
including,8
life,8
know,8
research,8
matter,8
town,8
charges,8
foreign,8
yesterday,8
problem,8
ask,8
said,8
benzene,8
pollution,8
sanjorge,8
money,8
today,7
suffered,7
justice,7
protesters,7
make,7
turn,7
do,7
took,7
day,7
river,7
toxin,7
became,7
environment,7
nespola,7
