Word,Frequency
gastech,65
kronos,46
international,37
sanjorge,37
jr,26
government,24
sten,21
company,17
gas,15
abila,11
president,10
fluss,10
which,9
water,9
contamination,9
million,8
tethys,8
ceo,7
like,7
sr,7
registered,7
offices,7
people,7
are,7
new,7
site,6
environmental,6
said,6
year,6
fire,6
present,6
report,6
curve,5
tiskele,5
drilling,5
safety,5
production,5
world,5
expansion,5
place,5
layers,5
health,5
however,5
process,5
employees,5
indicated,5
building,5
kidnapping,5
person,5
another,4
founded,4
billion,4
hank,4
also,4
years,4
capital,4
could,4
end,4
office,4
centrum,4
came,4
children,4
morning,4
country,4
elodis,4
good,4
stating,4
answered,4
currently,4
energy,4
day,4
due,4
guards,4
today,4
clean,4
response,4
willing,4
fear,4
billionaire,3
shares,3
public,3
1961,3
meters,3
eye,3
projects,3
operation,3
always,3
relationship,3
according,3
servant,3
work,3
increased,3
released,3
part,3
well,3
cato,3
around,3
left,3
apart,3
come,3
