Source,Target
The_tethys_news_newsarticle.csv,Modern_Rubicon_NewsArticle.csv
Daily_Pegasus_newsArticle.csv,Homeland_Illumination_newsArticle.csv
Daily_Pegasus_newsArticle.csv,The_Wrap_NewsArticle.csv
Daily_Pegasus_newsArticle.csv,News_online_today_newsarticle.csv
Daily_Pegasus_newsArticle.csv,The_orb_newsarticle.csv
Daily_Pegasus_newsArticle.csv,The_Guide_Newsarticle.csv
Everyday_news_newsarticle.csv,International_Times_Newsarticle.csv
Everyday_news_newsarticle.csv,WorldSource_newsarticle.csv
Everyday_news_newsarticle.csv,The_Continent_newsarticle.csv
Everyday_news_newsarticle.csv,World_Journal_NewsArticle.csv
International_Times_Newsarticle.csv,WorldSource_newsarticle.csv
International_Times_Newsarticle.csv,The_Continent_newsarticle.csv
International_Times_Newsarticle.csv,World_Journal_NewsArticle.csv
International_Times_Newsarticle.csv,News_online_today_newsarticle.csv
The_Abila_Post_Newsarticle.csv,Kronos_Star_newsarticle.csv
The_Abila_Post_Newsarticle.csv,The_Explainer_newsarticle.csv
The_Abila_Post_Newsarticle.csv,News_Desk_newsarticle.csv
The_Abila_Post_Newsarticle.csv,News_online_today_newsarticle.csv
WorldSource_newsarticle.csv,World_Journal_NewsArticle.csv
Homeland_Illumination_newsArticle.csv,The_Wrap_NewsArticle.csv
Homeland_Illumination_newsArticle.csv,News_online_today_newsarticle.csv
Homeland_Illumination_newsArticle.csv,The_orb_newsarticle.csv
Kronos_Star_newsarticle.csv,International_news_newsarticle.csv
Kronos_Star_newsarticle.csv,News_online_today_newsarticle.csv
Kronos_Star_newsarticle.csv,Worldwise_NewsArticle.csv
Kronos_Star_newsarticle.csv,The_Guide_Newsarticle.csv
Kronos_Star_newsarticle.csv,The_Truth_Newsarticle.csv
The_Continent_newsarticle.csv,World_Journal_NewsArticle.csv
International_news_newsarticle.csv,News_online_today_newsarticle.csv
International_news_newsarticle.csv,Worldwise_NewsArticle.csv
International_news_newsarticle.csv,The_Guide_Newsarticle.csv
International_news_newsarticle.csv,The_Truth_Newsarticle.csv
The_Explainer_newsarticle.csv,News_Desk_newsarticle.csv
The_Explainer_newsarticle.csv,News_online_today_newsarticle.csv
The_Explainer_newsarticle.csv,The_Guide_Newsarticle.csv
The_Explainer_newsarticle.csv,The_General_Post_newsarticle.csv
The_World_Newsarticle.csv,The_Tulip_NewsArticle.csv
The_World_Newsarticle.csv,The_light_of_truth_newsarticle.csv
The_World_Newsarticle.csv,Who_What_news_NewsArticle.csv
The_World_Newsarticle.csv,The_General_Post_newsarticle.csv
The_Tulip_NewsArticle.csv,The_light_of_truth_newsarticle.csv
The_Tulip_NewsArticle.csv,News_Desk_newsarticle.csv
The_Tulip_NewsArticle.csv,Who_What_news_NewsArticle.csv
The_Tulip_NewsArticle.csv,The_General_Post_newsarticle.csv
The_Wrap_NewsArticle.csv,News_Desk_newsarticle.csv
The_Wrap_NewsArticle.csv,News_online_today_newsarticle.csv
The_Wrap_NewsArticle.csv,The_orb_newsarticle.csv
The_Wrap_NewsArticle.csv,The_Truth_Newsarticle.csv
The_light_of_truth_newsarticle.csv,Who_What_news_NewsArticle.csv
The_light_of_truth_newsarticle.csv,The_General_Post_newsarticle.csv
News_Desk_newsarticle.csv,News_online_today_newsarticle.csv
News_online_today_newsarticle.csv,Worldwise_NewsArticle.csv
News_online_today_newsarticle.csv,The_orb_newsarticle.csv
News_online_today_newsarticle.csv,The_Guide_Newsarticle.csv
News_online_today_newsarticle.csv,The_Truth_Newsarticle.csv
Worldwise_NewsArticle.csv,The_Guide_Newsarticle.csv
Worldwise_NewsArticle.csv,The_Truth_Newsarticle.csv
The_Guide_Newsarticle.csv,The_Truth_Newsarticle.csv
Who_What_news_NewsArticle.csv,The_General_Post_newsarticle.csv
