,bigram,frequency
0,"'oil', 'gas'",31
1,"'government', 'kronos'",21
2,"'police', 'force'",21
3,"'sten', 'sanjorge'",20
4,"'cotton', 'candy'",18
5,"'shale', 'gas'",16
6,"'continue', 'reading'",15
7,"'reading', 'main'",15
8,"'foreign', 'ceos'",13
9,"'designer', 'drugs'",12
10,"'gas', 'fields'",11
11,"'substrate', 'removal'",11
12,"'elian', 'karel'",10
13,"'foreign', 'ceo'",10
14,"'cotton', 'sugar'",10
15,"'giant', 'gastech'",9
16,"'years', 'old'",8
17,"'coast', 'outside'",8
18,"'natural', 'gas'",8
19,"'old', 'boy'",8
20,"'gas', 'oil'",8
21,"'contain', 'abundance'",8
22,"'chemical', 'composition'",8
23,"'terrorist', 'group'",8
24,"'year', 'old'",8
25,"'offshore', 'shale'",8
26,"'foreign', 'presidents'",8
27,"'protectors', 'kronos'",7
28,"'capital', 'city'",7
29,"'army', 'people'",7
30,"'ceo', 'sten'",7
31,"'feared', 'kidnapped'",7
32,"'abundance', 'oil'",7
33,"'bianca', 'said'",7
34,"'kronos', 'government'",7
35,"'told', 'times'",7
36,"'kapelou', 'ii'",6
37,"'old', 'girl'",6
38,"'violence', 'kronos'",6
39,"'retirement', 'substratum'",6
40,"'loblaw', 'says'",6
41,"'nine', 'years'",6
42,"'kronos', 'never'",6
43,"'people', 'kronos'",6
44,"'gas', 'kronos'",6
45,"'critical', 'find'",6
46,"'complications', 'designer'",6
47,"'girl', 'died'",6
48,"'caring', 'singapore'",6
49,"'emergency', 'situation'",6
