,trigram,frequency
0,"'spokesman', 'rufus', 'drymiau'",19
1,"'spokesman', 'adrien', 'carman'",12
2,"'minister', 'health', 'cesare'",12
3,"'police', 'spokesman', 'adrien'",10
4,"'rufus', 'drymiau', 'government'",10
5,"'government', 'spokesman', 'rufus'",9
6,"'health', 'cesare', 'nespola'",8
7,"'taxes', 'oil', 'gas'",7
8,"'health', 'clean', 'water'",7
9,"'cesare', 'nespola', 'announced'",7
10,"'carman', 'adrien', 'spokesman'",7
11,"'police', 'force', 'abila'",7
12,"'forced', 'use', 'tear'",6
13,"'ingrid', 'ada', 'orhan'",6
14,"'ada', 'orhan', 'willem'",6
15,"'araullo', 'announced', 'today'",6
16,"'announced', 'today', 'government'",6
17,"'drymiau', 'government', 'said'",6
18,"'members', 'activist', 'group'",5
19,"'adrien', 'carman', 'said'",5
20,"'press', 'conference', 'nine'",5
21,"'conference', 'nine', 'morning'",5
22,"'leaving', 'ten', 'people'",5
23,"'federal', 'law', 'enforcement'",5
24,"'tear', 'pepper', 'water'",5
25,"'sten', 'sanjorge', 'president'",5
26,"'sanjorge', 'president', 'ceo'",5
27,"'year', 'cooperation', 'corporation'",5
28,"'rufus', 'drymiau', 'said'",5
29,"'thousands', 'dollars', 'damage'",5
30,"'new', 'hospital', 'first'",5
31,"'oil', 'gas', 'development'",5
32,"'clean', 'water', 'health'",5
33,"'health', 'education', 'rural'",5
34,"'rural', 'minister', 'nespola'",5
35,"'around', 'kronos', 'foreign'",5
36,"'two', 'hundred', 'people'",5
37,"'marek', 'replaced', 'elian'",5
38,"'replaced', 'elian', 'karel'",5
39,"'interests', 'people', 'kronos'",5
40,"'fields', 'curve', 'tiskele'",5
41,"'police', 'force', 'forced'",5
42,"'entrance', 'tiskele', 'bend'",4
43,"'tiskele', 'bend', 'fields'",4
44,"'development', 'natural', 'resources'",4
45,"'development', 'government', 'hopes'",4
46,"'found', 'leaving', 'ten'",4
47,"'tethyn', 'federal', 'law'",4
48,"'flew', 'kronos', 'escorted'",4
49,"'spokesman', 'adrien', 'carmen'",4
