word,frequency
police,177
POK,174
GAStech,161
Abila,124
Kronos,116
government,102
today,81
force,80
people,75
gas,74
building,74
Kapelou,71
President,70
said,65
health,64
Karel,58
Nespola,55
foreign,54
Tiskele,52
new,51
spokesman,49
members,48
crowd,48
development,46
country,43
yesterday,42
Tethys,42
headquarters,41
office,40
Minister,40
violence,38
us,38
care,37
president,37
fields,36
press,35
several,35
Sanjorge,35
tax,34
investment,34
employees,34
protestors,33
morning,33
Elian,33
hospital,33
Update,33
one,32
announced,32
taxes,32
minister,32
