Word,Frequency
kronos,69
gastech,55
elodis,54
police,47
government,43
jan,37
2014,37
karel,37
are,33
20,33
abila,32
officials,31
pok,30
water,30
death,29
died,25
elian,23
people,21
juliana,21
time,20
protectors,20
health,20
years,19
asked,18
homeland,18
told,18
building,17
illumination,17
several,16
city,16
bodrogi,15
sanjorge,14
public,14
citizens,14
gas,14
employees,14
fire,13
year,13
yesterday,13
bring,13
ago,12
minister,12
caused,12
drilling,12
left,12
which,12
old,12
1998,12
karels,12
another,11
what,11
leader,11
charges,11
residents,11
headquarters,10
gerhard,10
president,10
foreign,10
group,10
henk,10
investigation,10
took,10
family,10
vann,10
today,10
tiskele,10
wellness,10
private,10
company,10
reports,10
correspondent,9
executives,9
last,9
jail,9
kraft,9
information,9
including,9
reported,9
morning,9
supporters,9
benzene,9
justice,9
remember,9
didnt,9
community,9
children,9
money,9
missing,9
know,9
reese,9
airport,9
jet,9
members,8
arrived,8
prior,8
tax,8
released,8
questions,8
many,8
life,8
