Word,Frequency
kronos,40
gas,40
are,34
gastech,32
said,30
government,27
people,20
pok,19
sanjorge,18
tethys,16
cotton,15
candy,15
company,14
oil,14
abila,14
energy,13
police,13
years,12
year,12
drug,12
offshore,12
bianca,11
which,10
new,10
times,10
sten,9
also,9
environmental,9
last,9
city,9
drugs,9
fields,8
medical,8
continue,8
story,8
karel,8
designer,8
centrum,8
old,7
international,7
kronosian,7
work,7
employees,7
group,7
local,7
says,7
found,7
main,7
could,7
emergency,7
aid,7
shale,7
state,6
need,6
activities,6
protectors,6
reported,6
exploration,6
day,6
reading,6
capital,6
organization,6
used,6
protests,6
resources,6
hyperacidic,6
substrate,6
removal,6
business,5
region,5
around,5
food,5
however,5
terrorist,5
headquarters,5
yet,5
costs,5
stated,5
leader,5
death,5
started,5
died,5
do,5
know,5
early,5
what,5
told,5
difficult,5
much,5
department,5
task,4
operations,4
runs,4
jr,4
global,4
others,4
went,4
asterian,4
peoples,4
army,4
