Word,Frequency
police,65
gastech,57
pok,41
building,37
abila,35
update,34
are,32
pm,30
president,27
kronos,27
government,25
said,22
people,19
health,18
kapelou,16
several,16
gas,16
employees,16
today,15
minister,15
kidnapping,15
crowd,14
headquarters,13
foreign,13
spokesman,13
office,13
protectors,12
new,12
members,11
held,11
karel,11
protestors,11
nespola,11
capitol,10
tethys,10
carman,10
tiskele,10
bend,10
hospital,10
violence,10
yesterday,9
called,9
morning,9
development,9
fields,9
informed,9
sanjorge,9
general,9
tax,9
press,9
security,8
reception,8
country,8
care,8
am,8
signs,7
elian,7
vann,7
water,7
officers,7
protesters,7
arrested,7
being,7
adrien,7
employee,7
citizens,7
executives,7
sten,7
jr,7
year,7
investment,7
arrived,7
announced,7
statement,7
demonstration,6
front,6
last,6
tear,6
rally,6
oil,6
drymiau,6
additional,6
meeting,6
taxes,6
projects,6
officer,6
assembly,6
phone,6
suspected,6
ministry,6
reports,6
information,6
administrator,6
fire,6
come,6
seen,6
alarm,6
situation,6
years,5
hours,5
