Word,Frequency
kronos,63
gastech,52
government,50
which,42
are,37
pok,28
international,22
people,18
abila,18
group,17
guards,16
elodis,16
police,15
civil,15
arrest,15
force,14
servants,13
declaration,13
accused,13
president,12
public,12
pollution,12
karel,12
around,12
uvan,12
kapelou,10
security,10
protesters,10
water,10
wfa,10
place,9
tiskele,9
elian,8
activist,8
violent,8
research,8
bending,8
also,8
previous,7
protests,7
do,7
recent,7
gas,7
second,7
nothing,6
threat,6
reports,6
died,6
bldg,6
employees,6
spokesman,6
answered,6
since,6
sanjorge,6
jr,6
members,6
what,6
well,6
including,6
drug,6
source,6
plane,6
arrests,5
employee,5
moment,5
death,5
matter,5
van,5
windows,5
passengers,5
important,5
meeting,5
report,5
questions,5
control,5
new,5
ii,5
day,5
company,5
however,5
protest,5
vann,5
violence,5
party,5
possession,5
danisliau,5
fire,5
checked,5
substance,5
robber,5
stable,5
organization,4
attention,4
environment,4
headquarters,4
approximately,4
today,4
time,4
sten,4
year,4
