Word,Frequency
kronos,60
which,58
are,53
gas,35
gastech,34
people,31
government,29
pok,18
tethys,18
foreign,18
concerning,18
said,17
important,17
work,17
years,16
sanjorge,16
company,16
abila,15
oil,15
cotton,15
environment,14
aid,13
new,13
aforesaid,13
energy,13
drug,13
candy,13
center,13
what,12
police,11
force,11
started,11
also,11
much,11
bianca,11
question,11
ceo,10
kronosian,10
year,10
ceos,10
civil,9
coast,9
karel,9
group,9
country,9
employees,9
times,9
situation,9
do,9
city,9
previous,9
large,9
international,8
sten,8
possible,8
area,8
time,8
matter,8
medical,8
tale,8
resources,8
designer,8
drugs,8
industry,7
guards,7
communicated,7
lot,7
staff,7
leader,7
put,7
could,7
find,7
difficult,7
since,7
emergency,7
change,7
costs,7
must,7
frequently,7
chemical,7
explained,6
says,6
truck,6
servants,6
found,6
around,6
whereas,6
manner,6
presidential,6
boat,6
although,6
protests,6
remain,6
local,6
functioning,6
know,6
become,6
places,6
get,6
activities,6
