Word,Frequency
kronos,60
gastech,52
government,48
pok,28
are,26
international,24
abila,18
protectors,18
group,17
around,16
elodis,16
people,15
halting,13
contamination,13
declaration,13
public,12
president,12
police,12
hoursaccused,12
karel,12
site,11
violent,11
water,11
gas,10
security,10
kapelou,10
demonstrators,10
wfa,10
tiskele,9
investigation,9
officials,9
curve,8
employees,8
also,8
do,8
elian,8
activist,8
last,8
meeting,7
made,7
being,7
time,7
protests,7
recent,6
sanjorge,6
jr,6
headquarters,6
including,6
whereas,6
could,6
drug,6
controlled,6
said,6
spokesman,6
death,6
died,6
violence,6
business,6
send,5
direction,5
well,5
several,5
information,5
members,5
like,5
sent,5
substance,5
health,5
day,5
clean,5
de,5
editions,5
source,5
nevertheless,5
due,5
first,5
danisliau,5
responded,5
windows,5
haltings,5
ii,5
new,5
vote,5
party,5
buildings,5
sten,4
fire,4
smaller,4
importance,4
residents,4
although,4
protector,4
member,4
vann,4
possession,4
according,4
degree,4
theft,4
organization,4
take,4
