Word,Frequency
gastech,64
kronos,46
sanjorge,39
international,37
government,24
jr,24
sten,20
company,16
gas,16
president,10
like,9
contamination,9
declaration,8
million,8
water,8
are,8
tethys,8
headquarters,7
abila,7
kidnapping,7
ceo,7
said,7
new,7
make,6
site,6
great,6
fluss,6
environmental,6
center,6
being,5
employees,5
could,5
security,5
fire,5
curve,5
tiskele,5
extension,5
people,5
demands,5
health,5
person,5
arranged,5
outside,5
years,5
world,5
mr,5
port,5
day,4
respect,4
also,4
due,4
sent,4
protectors,4
today,4
avila,4
work,4
relation,4
another,4
fields,4
founded,4
sr,4
came,4
answer,4
building,4
perforated,4
business,4
fear,4
elodis,4
nevertheless,4
production,4
east,4
operation,4
made,4
clean,4
present,4
standard,4
right,4
energy,4
information,3
speculation,3
still,3
must,3
recent,3
time,3
responsibility,3
executive,3
greater,3
officials,3
office,3
without,3
least,3
event,3
around,3
increasing,3
according,3
year,3
february,3
fuel,3
well,3
put,3
