Word,Frequency
police,38
pok,37
which,35
force,34
gastech,30
are,26
government,25
abila,25
kronos,24
president,24
today,21
people,19
health,18
gas,17
minister,17
mob,16
kapelou,15
country,14
new,13
foreign,13
karel,13
nespola,13
civil,13
tiskele,12
bldg,12
aforesaid,12
different,11
guards,11
protestors,11
bending,10
hospital,10
become,10
headquarters,10
development,10
areas,10
spokesman,10
violence,10
tethys,9
general,9
yesterday,9
concerning,9
servants,9
members,9
investment,8
construction,8
office,8
tax,8
care,8
press,7
announced,7
way,7
large,7
taxes,7
said,7
protesters,7
arrested,7
signs,7
citizens,7
elian,7
water,7
since,7
sanjorge,7
year,7
projects,6
port,6
demonstration,6
collection,6
oil,6
employees,6
adrien,6
started,6
help,6
capitol,6
situation,6
ministry,5
could,5
sarto,5
am,5
come,5
criminals,5
peaceful,5
area,5
morning,5
loved,5
work,5
carman,5
group,5
tried,5
drymiau,5
extra,5
cesare,5
assembly,5
streets,5
use,5
tear,5
declaration,5
araullo,5
company,5
kept,5
vann,5
