Word,Frequency
gastech,67
kronos,46
sanjorge,37
international,36
which,31
jr,26
government,24
are,23
sten,20
company,17
gas,14
president,11
abila,11
fluss,10
pollution,9
environment,9
tethys,8
port,8
millions,8
sr,7
place,7
employees,7
ceo,7
declaration,7
new,7
matter,7
headquarters,7
removal,6
water,6
fire,6
years,5
world,5
still,5
extension,5
aforesaid,5
become,5
security,5
large,5
present,5
bending,5
tiskele,5
people,5
fields,5
do,5
person,5
prepared,5
what,5
production,4
year,4
guards,4
also,4
aim,4
however,4
elodis,4
clean,4
answered,4
important,4
children,4
part,4
must,4
recent,4
another,4
today,4
office,4
day,4
well,4
concerning,4
energy,4
give,4
high,4
around,4
civil,4
public,3
eye,3
even,3
1961,3
set,3
billion,3
responsibility,3
like,3
group,3
wellness,3
groundwater,3
comment,3
charges,3
died,3
morning,3
center,3
lead,3
increase,3
pillar,3
east,3
meters,3
saying,3
tax,3
february,3
income,3
proportion,3
good,3
least,3
