Word,Frequency
kronos,52
elodis,45
which,42
karel,36
health,34
government,33
water,27
years,26
pok,26
police,25
gastech,24
force,22
elian,21
death,21
juliana,20
died,19
guards,18
servant,18
abila,17
people,15
civils,15
bodrogi,15
citizens,14
chief,13
gas,13
make,12
community,12
several,12
public,11
bring,11
1998,11
drilling,11
residents,11
minister,11
company,11
are,11
family,11
city,11
last,10
year,10
group,10
henk,10
children,10
old,10
tiskele,10
life,10
vann,9
caused,9
disease,9
president,9
good,9
prison,9
three,9
started,9
reese,9
much,8
what,8
carried,8
sanjorge,8
operations,8
including,8
benzene,8
problem,8
gathering,8
house,8
yesterday,8
said,7
leave,7
high,7
nespola,7
hospital,7
meeting,7
way,7
tax,7
do,7
report,7
made,7
front,7
asked,7
justice,7
remember,7
river,7
today,7
protesters,7
thus,6
took,6
know,6
money,6
environmental,6
toxins,6
published,6
incidence,6
released,6
say,6
met,6
indicated,6
corruption,6
town,6
members,6
stop,6
