Word,Frequency
gastech,50
kronos,32
international,22
sanjorge,19
government,16
sten,14
jr,11
gas,8
abila,8
fluss,8
gastechs,7
president,7
contamination,7
ceo,7
site,6
centrum,6
tethys,6
internationals,6
water,6
port,6
tiskele,5
bend,5
sr,5
drilling,5
million,5
headquarters,5
statement,5
person,5
willing,5
years,4
company,4
said,4
due,4
environmental,4
protectors,4
employees,4
however,4
clean,4
new,4
came,4
response,4
well,3
place,3
founded,3
great,3
kidnapping,3
also,3
elodis,3
capital,3
flame,3
protest,3
people,3
building,3
around,3
released,3
fire,3
hank,3
cato,3
away,3
claims,3
today,2
another,2
fuel,2
expansion,2
potential,2
fields,2
results,2
least,2
four,2
health,2
heart,2
attack,2
1961,2
board,2
hospital,2
always,2
champion,2
children,2
truly,2
survived,2
wife,2
ingrid,2
yet,2
still,2
hasr,2
high,2
probability,2
products,2
produced,2
process,2
taken,2
responsibility,2
group,2
1998,2
rural,2
township,2
outside,2
billionaire,2
shares,2
5,2
