Word,Frequency
gas,31
kronos,20
gastech,18
government,14
tethys,14
pok,13
people,11
are,10
offshore,10
sanjorge,9
karel,8
company,8
energy,8
new,8
police,7
environmental,7
shale,7
years,6
which,6
aid,6
city,5
work,5
protectors,5
international,5
kronosian,5
group,5
story,5
could,5
hyperacidic,5
substrate,5
removal,5
says,5
centrum,5
year,4
old,4
leader,4
died,4
abila,4
organization,4
headquarters,4
terrorist,4
business,4
sten,4
state,4
employees,4
oil,4
times,4
resources,4
being,4
local,4
need,4
relief,4
reported,4
drug,4
early,3
tuesday,3
capital,3
used,3
emergency,3
responsible,3
juliana,3
10,3
girl,3
elian,3
crowd,3
started,3
deleted,3
image,3
others,3
political,3
within,3
may,3
time,3
press,3
task,3
ways,3
gastechs,3
kronoss,3
west,3
needs,3
however,3
sites,3
controversial,3
continue,3
reading,3
main,3
place,3
five,3
big,3
industry,3
violence,3
said,3
global,3
food,3
increased,3
caring,3
singapore,3
feared,3
teams,3
funds,3
