Word,Frequency
kronos,61
which,48
are,38
gas,38
gastech,33
government,29
people,21
years,19
pok,19
tethys,18
company,18
foreign,18
said,16
sanjorge,16
known,16
oil,16
work,16
abila,15
sea,15
cotton,15
sugar,15
do,13
energy,13
president,13
like,12
much,12
force,12
new,12
drug,12
city,11
also,11
year,11
group,11
police,11
last,11
bianca,11
principal,10
history,10
could,10
kronosian,10
chief,10
take,10
presidents,10
difficult,10
karel,9
around,9
continue,8
used,8
environmental,8
medical,8
times,8
international,8
many,8
however,8
make,8
time,8
sten,8
help,8
centrum,8
drugs,8
originator,8
protests,7
come,7
guards,7
what,7
old,7
assistance,7
hard,7
question,7
resources,7
made,7
says,6
read,6
capital,6
started,6
employees,6
although,6
pressure,6
servant,6
beginning,6
current,6
country,6
offices,6
presidential,6
boat,6
industry,6
q,6
environment,6
must,6
obtain,6
thus,6
great,6
often,6
find,6
activities,6
local,6
calls,6
businesses,6
displacement,6
substrate,6
