Word,Frequency
force,37
pok,37
police,34
gastech,29
abila,25
kronos,25
government,24
president,23
which,21
today,20
kapelou,18
minister,17
health,16
crowd,16
people,15
are,14
building,14
foreign,13
nespola,13
karel,13
gas,12
curve,12
tiskele,12
spokesman,12
new,11
several,11
guards,11
protesters,11
development,10
country,10
registered,10
violence,10
hospital,10
said,10
members,10
taxes,9
tethys,9
office,9
offices,9
order,9
yesterday,9
general,9
araullo,8
investment,8
held,8
morning,8
signs,8
announced,7
sanjorge,7
fields,7
citizens,7
like,7
tax,7
front,7
last,7
gathering,7
protestateurs,7
elian,7
projects,7
water,7
leaders,7
stopped,7
property,6
oil,6
company,6
little,6
press,6
maintain,6
adrien,6
started,6
teargas,6
demonstration,6
capitol,6
year,6
situation,6
business,5
ministry,5
interior,5
could,5
sarto,5
left,5
years,5
first,5
many,5
bring,5
right,5
construction,5
streets,5
come,5
cesare,5
carman,5
area,5
additional,5
peaceful,5
tried,5
vann,5
claimed,5
known,5
drymiau,5
group,5
