word,frequency
Kronos,241
gas,182
GAStech,126
government,124
people,101
POK,88
Tethys,84
said,84
years,79
company,73
Sanjorge,65
work,62
Abila,62
oil,60
energy,59
one,57
cotton,57
drug,54
new,52
year,45
police,45
city,45
foreign,44
Bianca,44
Karel,43
Kronosian,42
also,40
group,40
last,40
could,38
Sten,37
employees,37
much,36
international,35
aid,35
medical,34
around,33
center,33
resources,32
difficult,32
like,31
drugs,31
says,30
environmental,30
local,29
force,29
time,29
coast,28
candy,28
take,27
